Name,Rating,Address,URL,Price,Type,Phone,Cousine,Meals
2OX Two Ox,4.5 ,"56G Jalan Doraisamy The Row, Kuala Lumpur 50300 Malaysia",http://www.two-ox.com/,$$ - $$$,$$ - $$$FrenchEuropeanVegetarian Friendly,+60 3-2692 2233,"French, European","Vegetarian Friendly, Vegan Options, Gluten Free Options"
WXYZ Bar,4.5 ,"No 6 Jalan Stesen Sentral Aloft Kuala Lumpur Sentral, Kuala Lumpur 50470 Malaysia",http://www.facebook.com/pg/AloftKualaLumpurSentral/services/,$$ - $$$,$$ - $$$BarPubVegetarian Friendly,+60 3-2723 1188,Vegetarian Friendly,"Breakfast, Lunch, Dinner"
Village Park Restaurant,4.0 ,"5 Jalan Ss 21/37 Damansara Utama, Petaling Jaya 47400 Malaysia",https://www.facebook.com/Village-Park-Restaurant-1639483826264341/?hc_ref=ARQsO73DflHE6sy9Kjih-ckfUql10bjEk1K5nwc45sCtp9z33cSZGiAYpCvnykRmyJ0&fref=nf,$$ - $$$,$$ - $$$AsianMalaysianHalal,+60 3-7710 7860,Halal,"Breakfast, Lunch, Brunch"
Restoran Yusoof dan Zakhir,4.0 ,"Jalan Hang Kasturi No. 40, Ground Floor, Kuala Lumpur 50050 Malaysia",https://www.facebook.com/pages/Restoran-Yusoof-Dan-Zakhir/172374629574479,$,$IndianAsianMalaysian,+60 3-2026 8685,"Vegetarian Friendly, Halal, Vegan Options","Breakfast, Lunch, Dinner, Brunch, After-hours"
myBurgerLab Oug,4.5 ,"8 Jalan Awan Hijau Taman Oug, Kuala Lumpur 58200 Malaysia",http://myburgerlab.com/,$$ - $$$,$$ - $$$AmericanFast foodVegetarian Friendly,+60 3-7499 4855,"Vegetarian Friendly, Vegan Options, Halal","Lunch, Dinner"
AQUA Restaurant & Bar,4.5 ,"Kuala Lumpur City Centre (KLCC) Kuala Lumpur City Centre, Kuala Lumpur 50088 Malaysia",https://www.mandarinoriental.com/en/kuala-lumpur/petronas-towers/dine/aqua-restaurant-and-bar?src=loc.local_listing.mokul.yxt,$$ - $$$,$$ - $$$AmericanBarInternational,+60 3-2380-8888,,
Nori Sushi,4.5 ,"10 Jalan Perak Cormar Suites, Kuala Lumpur 50450 Malaysia",http://www.norisushi.restaurant/,$$ - $$$,$$ - $$$JapaneseSeafoodSushi,+60 3-2181 4873,"Japanese, Seafood, Sushi, Asian","Vegetarian Friendly, Gluten Free Options"
Via Pre Kul,4.5 ,"25 Lorong Setiabistari 2 Bukit Damansara, Kuala Lumpur 50490 Malaysia",https://www.facebook.com/viaprekul/,$$ - $$$,$$ - $$$ItalianPizzaSeafood,+60 3-2011 2003,"Italian, Mediterranean, Pizza, Tuscan, Central-Italian, Seafood, European","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Jersey Jack Gelato,4.5 ,"49 Jalan Berangan, Kuala Lumpur 50200 Malaysia",http://www.facebook.com/JerseyJackGelatoKL,$$ - $$$,$$ - $$$Dessert,+60 12-327 0785,"Takeout, Outdoor Seating, Seating, Street Parking, Cash Only, Free Wifi",
Shin Kee Beef Noodle Specialist,4.5 ,"9 Jalan Tun Tan Cheng Lock  50100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia, Kuala Lumpur Malaysia",http://www.facebook.com/pages/Shin-Kee-Beef-Noodles-Specialist/101092826646056,$,$ChineseAsianSoups,+60 12-673 7318,"Lunch, Dinner, Brunch","Takeout, Seating, Table Service"
Lemon Garden,4.0 ,"Jalan Sultan Ismail, Lobby Level 11 Shangri-La Kuala Lumpur, Kuala Lumpur 50250 Malaysia",http://www.shangri-la.com/kualalumpur/shangrila/dining/restaurants/lemon-garden-cafe/,$$ - $$$,$$ - $$$InternationalAsianCantonese,60 3 2074 3900,"International, Asian, Malaysian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
RSMY,4.0 ,"Kuala Lumpur, WP Kuala Lumpur 50300, Malaysia 11 & 13 Jalan Medan Tuanku, Kuala Lumpur 50300 Malaysia",http://www.facebook.com/rsmybestcheesenaan,$$ - $$$,$$ - $$$IndianAsianMalaysian,+60 3-2697 0799,"Vegetarian Friendly, Vegan Options, Halal","Lunch, Dinner, Brunch"
BBQ Nights,4.5 ,"Jalan Perak W-G-1, West Wing, Kuala Lumpur 50450 Malaysia",http://www.facebook.com/bbqnightskl,$$ - $$$,$$ - $$$IndianBarbecueAsian,+60 3-2166 8966,"Vegetarian Friendly, Halal","Lunch, Dinner"
Mont Blanc Bakers,5.0 ,"D1-G4-06, 1, Jln Dutamas 1, Solaris Dutamas, Kuala Lumpur 50480 Malaysia",http://www.montblancbakers.com/,$$ - $$$,$$ - $$$BakeriesCafe,+60 14-613 8595,"Breakfast, Brunch, Drinks","Table Service, Delivery, Takeout, Outdoor Seating, Seating, Digital Payments, Accepts Credit Cards, Non-smoking restaurants"
Lot 10 Hutong,4.0 ,"50 Jalan Sultan Ismail LG Floor, Lot 10 Shopping Centre,, Kuala Lumpur 50250 Malaysia",http://www.lot10hutong.com/,$,$Quick BitesChineseAsian,+60 3-2782 3500,Vegetarian Friendly,"Lunch, Dinner, Brunch, After-hours"
Leaf & Co Cafe,4.5 ,"53 Jalan Sultan China Town, Kuala Lumpur 50000 Malaysia",http://www.facebook.com/leafandcocafe/,$$ - $$$,$$ - $$$CafeAsianVegetarian Friendly,+60 3-2020 2220,"Cafe, Asian","Vegetarian Friendly, Vegan Options"
Lucy In The Sky Cafe,4.5 ,"167 Jalan Tun H S Lee, Kuala Lumpur 50000 Malaysia",http://www.facebook.com/lucyintheskykl,$$ - $$$,$$ - $$$CafeEuropeanVegetarian Friendly,+60 3-2022 1526,"Cafe, European","Vegetarian Friendly, Vegan Options"
Bombay Palace,4.0 ,"20 Jalan Sultan Ismail Life Centre, M-3A, Mezzanine Floor, Kuala Lumpur 50250 Malaysia",http://lifecentre.com.my/bombay-palace/,$$ - $$$,$$ - $$$IndianAsianVegetarian Friendly,+60 11-2859 7585,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner, After-hours"
FS Nasi Kandar Corner,4.5 ,"21 Jalan Melaka, Kuala Lumpur 50100 Malaysia",http://www.facebook.com/FSNasiKandarCorner,$,$IndianAsianMalaysian,+60 3-2022 2055,"Indian, Asian, Malaysian","Vegetarian Friendly, Vegan Options, Gluten Free Options, Halal"
"WET Deck, W Kuala Lumpur",4.5 ,"121 Jalan Ampang, Kuala Lumpur 50450 Malaysia",https://www.wkualalumpur-wetdeck.com/,$$ - $$$,$$ - $$$BarInternationalWine Bar,+60 3-2786 8888,"Bar, Wine Bar, International","Dinner, After-hours, Drinks"
Jalan Alor,4.0 ,"Alor Golden Triangle, Kuala Lumpur Malaysia",,$,$ChineseSeafoodAsian,,"Vegetarian Friendly, Vegan Options","Dinner, After-hours"
Nasi Kandar Pelita,4.0 ,"No. 149 Jalan Ampang, Kuala Lumpur 50450 Malaysia",http://www.pelita.com.my/,$,$IndianAsianMalaysian,+60 3-2162 5532,"Vegetarian Friendly, Vegan Options, Halal","Breakfast, Lunch, Dinner, Brunch, After-hours"
Old China Cafe,4.0 ,"11, Jalan Balai Polis, City Centre, Kuala Lumpur 50000 Malaysia",http://www.oldchina.com.my/ocklindex.htm,$$ - $$$,$$ - $$$ChineseAsianNonya/Malaysian,+60 3-2072 5915,"Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch, After-hours"
La Boca Latino Bar,4.0 ,"Lot C3.10.03, Level 3 Pavilion Mall, Jalan Bukit Bintang, Kuala Lumpur Malaysia",http://www.laboca.com.my/,$$ - $$$,$$ - $$$MexicanLatinArgentinian,+60 3-2148 9977,"Mexican, Latin, Argentinian",Vegetarian Friendly
Merchant's Lane,4.0 ,"150 Jalan Petaling First floor, Opposite Four Points by Sheraton Hotel Chinatown, Kuala Lumpur 50000 Malaysia",http://www.instagram.com/merchantslane/,$$ - $$$,$$ - $$$Quick BitesCafeEuropean,+60 3-2022 1736,"European, Fusion, Cafe, Asian, Malaysian",Vegetarian Friendly
Dewakan Restaurant,4.5 ,"No. 10 Persiaran KLCC Level 48, Skyviews, Naza Tower, Platinum Park, Kuala Lumpur 50088 Malaysia",https://www.facebook.com/dewakanmy/,$$$$,$$$$AsianMalaysian,+60 17-789 6720,"Asian, Malaysian",Dinner
Nobu Kuala Lumpur,4.0 ,"No. 145 Jalan Ampang Level 4A, Shoppes at Four Seasons Place Kuala Lumpur, Kuala Lumpur 50450 Malaysia",http://www.noburestaurants.com/kuala-lumpur/home/,$$$$,$$$$JapaneseJapanese FusionVegetarian Friendly,+60 3-2380 0028,,
Bimba Cafe SS2,5.0 ,"No. 36-2, Jalan Ss2/66, Ss2 Above Benson Car Workshop & DeWaves Saloon, Petaling Jaya 47300 Malaysia",http://www.facebook.com/bimba.ss2/,$$ - $$$,$$ - $$$BarCafeBarbecue,+60 126215236,,
Tatsu Japanese Cuisine,4.5 ,"165 Jalan Ampang Intercontinental Hotel, Kuala Lumpur 50450 Malaysia",http://kualalumpur.intercontinental.com/dining/tatsu-japanese-cuisine,$$$$,$$$$JapaneseSushiAsian,+60 3-2782 6118,Vegetarian Friendly,"Dinner, Lunch"
Bara On Six,4.0 ,"Traders Hotel Kuala Lumpur City Centre, Kuala Lumpur 50088 Malaysia",https://www.shangri-la.com/kualalumpur/traders/dining/restaurants/bara-on-six/,$$$$,$$$$SteakhouseGrillGluten Free Options,+60 3-2332 9888,Gluten Free Options,"Dinner, Lunch, Drinks"
Sai Woo,4.0 ,"55 Jalan Alor, Kuala Lumpur 50200 Malaysia",http://www.facebook.com/restaurantsaiwoo/,$,$ChineseSeafoodAsian,+60 16-205 3353,Vegetarian Friendly,"Lunch, Dinner, After-hours"
Fatty Crab Restaurant,4.0 ,"No 2 Jalan SS 24/13 Taman Megah, Petaling Jaya 47301 Malaysia",https://www.facebook.com/fattycrabmalaysia/,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 3-7804 5758,"Chinese, Seafood, Asian, Malaysian",Dinner
Dancing Fish,4.0 ,"Lot T120, 121 & 122 285 Jalan Maarof Bukit Bandaraya, Kuala Lumpur 59100 Malaysia",http://dancingfish.com.my/,$$ - $$$,$$ - $$$AsianIndonesianMalaysian,+60 3-2095 6663,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner"
Wan Chun Ting,4.5 ,"Sofitel Kuala Lumpur Damansara 6 Jalan Damanlela Bukit Damansara, Kuala Lumpur 50490 Malaysia",https://www.sofitel-kualalumpur-damansara.com/restaurants-bars/wan-chun-ting/,$$$$,$$$$ChineseAsianHealthy,+60 3-2720 6648,,
Shu Kingdom General Hotpot,5.0 ,"50, Jalan Sultan Ismail R1, Lower Ground, Lot 10 Shopping Centre, Kuala Lumpur 50250 Malaysia",https://www.facebook.com/shukingdomgeneralmy/,$$ - $$$,$$ - $$$ChineseBarBarbecue,+60 10-212 1006,"Lunch, Dinner, Drinks","Reservations, Table Service, Outdoor Seating, Valet Parking, Television, Highchairs Available, Wine and Beer, Digital Payments, Accepts Credit Cards"
NZ Curry House,4.0 ,"Jalan Ampang, Kuala Lumpur 55000 Malaysia",http://www.nzcurryhouse.com/,$,$IndianAsianMalaysian,+60 3-4141 6857,"Indian, Asian, Malaysian","Vegetarian Friendly, Vegan Options, Halal"
Vertigo,4.5 ,"2 Jalan Conlay Level 59, Banyan Tree Residence, Kuala Lumpur 50450 Malaysia",https://www.banyantree.com/en/malaysia/kuala-lumpur/dining/vertigo,$$ - $$$,$$ - $$$BarWine Bar,+60 3-2113 1823,"Bar, Wine Bar",Drinks
Din Tai Fung at The Gardens Mall,4.0 ,"Lingkaran Syed Putra Lot LG-207, Lower Ground Floor, The Gardens, Kuala Lumpur 59200 Malaysia",http://www.dintaifung.com.tw/en/area_a_detail.asp?AreaNO=171&AreaCountryNO=94,$$ - $$$,$$ - $$$ChineseAsianCantonese,+60 3-2202 2883,"Lunch, Dinner, Brunch","Takeout, Reservations, Seating, Wheelchair Accessible, Accepts Credit Cards, Table Service, Parking Available, Wine and Beer, Family style, Non-smoking restaurants"
Antipodean Mid Valley,4.0 ,"G(E)-011A, The Boulevard, Mid Valley Megamall Mid Valley Megamall, Kuala Lumpur 59200 Malaysia",http://www.antipodeancoffee.com/,$$ - $$$,$$ - $$$CafeInternationalNew Zealand,+60 3-2202 3411,"New Zealand, Cafe, International","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Strangers At Forty 7,4.5 ,"47 Jalan 17/45, Petaling Jaya 46400 Malaysia",http://www.facebook.com/strangersat47,$$ - $$$,$$ - $$$DessertCafeFusion,+60 3-7498 1034,"Cafe, Fusion",Vegetarian Friendly
Halab KL,4.5 ,"35 Jalan Berangan Bukit Bintang, Kuala Lumpur 50200 Malaysia",http://halab.my/,$,$MediterraneanMiddle EasternArabic,+60 3-2110 4146,"Mediterranean, Middle Eastern, Arabic","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
ATAS at The RuMa Hotel & Residences,4.5 ,"7 Jalan Kia Peng Atas is located within the RuMa Hotel & Residences, Kuala Lumpur 50450 Malaysia",http://theruma.com/en/kuala-lumpur-luxury-hotel-dining/atas/,$$$$,$$$$ContemporaryVegetarian FriendlyVegan Options,+60 3-2778 0735,"Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner"
Yut Kee,4.0 ,"35 Jalan Dang Wangi, Kuala Lumpur 50100 Malaysia",http://www.facebook.com/pages/Yut-Kee-Restaurant-%E9%8E%B0%E8%A8%98%E8%8C%B6%E5%AE%A4/188865767841358,$,$ChineseAsianMalaysian,+60 3-2698 8108,"Chinese, Asian, Malaysian","Breakfast, Lunch, Brunch"
The Drawing Room,4.5 ,"No 6 Jalan Stesen Sentral The St. Regis Kuala Lumpur, Kuala Lumpur 50470 Malaysia",https://www.marriott.com/hotels/hotel-information/restaurant/details/kulxr-the-st-regis-kuala-lumpur/6468192/,$$$$,$$$$Cafe,+60 3-2727 6660,Cafe,"Reservations, Seating, Serves Alcohol, Table Service, Parking Available, Wheelchair Accessible"
BAAN 26,4.0 ,"26 Cangkat Bukit Bintang, Kuala Lumpur Malaysia",http://www.baan26.com/,$$ - $$$,$$ - $$$AsianThaiVegetarian Friendly,+60 3-2142 8878,"Vegetarian Friendly, Vegan Options","Lunch, Dinner, After-hours"
DC Restaurant,4.5 ,"44 Persiaran Zaaba Taman Tun Dr Ismail, Kuala Lumpur 60000 Malaysia",http://www.restaurant-dc.com/,$$$$,$$$$FrenchEuropeanContemporary,+60 3-7731 0502,"French, European, Contemporary",Vegetarian Friendly
Lounge on the Park,4.5 ,"Kuala Lumpur City Centre, Kuala Lumpur 50088 Malaysia",https://www.mandarinoriental.com/en/kuala-lumpur/petronas-towers/dine/lounge-on-the-park?src=loc.local_listing.mokul.yxt,$$ - $$$,$$ - $$$Vegetarian FriendlyVegan OptionsHalal,+60 3-2179-8883,"Lunch, Brunch, Breakfast, Dinner","Reservations, Outdoor Seating, Seating, Parking Available, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service, Validated Parking"
Ra-Ft Cafe' / Bistro,4.5 ,"Binjai 8 Premium Soho Lorong Binjai Unit G1, Ground Floor, Kuala Lumpur 50450 Malaysia",http://www.ra-ft.com/,$$ - $$$,$$ - $$$DessertCafeEuropean,+60 3-2181 1091,"Cafe, European","Vegetarian Friendly, Vegan Options, Gluten Free Options"
TAPAK Urban Street Dining,4.5 ,"2 Persiaran Hampshire Hampshire Park, Off Jalan Ampang, Kuala Lumpur 50450 Malaysia",http://www.ilovetapak.com/,$,$Quick BitesFast foodAsian,+60 16-554 7670,"Vegetarian Friendly, Vegan Options, Halal",Dinner
Dc Comics Superheroes Cafe,4.0 ,"Unit 2-29, Jalan Putra Sunway Putra Mall,, Kuala Lumpur 50350 Malaysia",http://www.facebook.com/dccomicssuperheroesmalaysia,$$ - $$$,$$ - $$$CafeVegetarian Friendly,+60 3-7954 6377,Vegetarian Friendly,"Breakfast, Lunch, Dinner, Brunch"
Yellow Brick Road,4.0 ,"8-7, Jalan Batai Kompleks Pejabat Damansara, Jalan Dungun,, Kuala Lumpur 50490 Malaysia",https://www.facebook.com/yellowbrickroadcafe,$$ - $$$,$$ - $$$CafeVegetarian FriendlyVegan Options,+60 3-2035 5922,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Brunch, Drinks"
Japas By Jeff Ramsey,5.0 ,"Changkat Semantan, Damansara Heights Work@clearwater, 11th Floor, Kuala Lumpur 50490 Malaysia",http://www.japas.com.my/,$$$$,$$$$JapaneseSpanish,+60 13-209 1330,"Japanese, Spanish","Dinner, After-hours, Drinks"
Little Penang Cafe,4.0 ,"Suria KLCC Klcc, Kuala Lumpur Malaysia",http://www.suriaklcc.com.my/dining/restaurants/little-penang-kafe,$$ - $$$,$$ - $$$AsianNonya/MalaysianMalaysian,+60 3-2163 0215,"Asian, Malaysian","Vegetarian Friendly, Halal"
Shang Palace,4.5 ,"11 Jalan Sultan Ismail Shangri-La Hotel, Kuala Lumpur, Kuala Lumpur 50250 Malaysia",https://www.shangri-la.com/kualalumpur/shangrila/dining/restaurants/shang-palace/,$$$$,$$$$ChineseAsianCantonese,+60 3-2074 3904,"Chinese, Asian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
The Rabbit Hole,4.0 ,"Lot 14 & 16 Changkat Bukit Bintang, Kuala Lumpur 50200 Malaysia",http://www.rabbithole.com.my/,$$ - $$$,$$ - $$$BarInternationalAsian,+60 18-265 0828,"Malaysian, Bar, Asian, International",Vegetarian Friendly
Emily's Steakhouse Kuala Lumpur,4.5 ,"Imbi 8 Jalan Inai Bukit bintang, Kuala Lumpur 55100 Malaysia",http://www.emilys.biz/,$$ - $$$,$$ - $$$SteakhouseBritishGluten Free Options,+60 13-210 6884,"Steakhouse, British",Gluten Free Options
Sangeetha,4.0 ,"65 Lebuh Ampang Merdeka Square Area, Kuala Lumpur 50100 Malaysia",http://sangeethavegrestaurants.com/sangeetha-masjid-india-kl,$$ - $$$,$$ - $$$IndianAsianVegetarian Friendly,+60 3-2032 3333,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, After-hours"
Li Yen,4.5 ,"168 Jalan Imbi The Ritz-Carlton, Kuala Lumpur 55100 Malaysia",http://www.liyenkl.com/,$$$$,$$$$ChineseAsianCantonese,+60 18-646 8033,"Chinese, Asian",Vegetarian Friendly
Hakka Restaurant,4.0 ,"90 Jalan Raja Chulan, Kuala Lumpur 50200 Malaysia",https://www.facebook.com/hakka.restaurant?rf=101030586655591,$$ - $$$,$$ - $$$ChineseAsianMalaysian,+60 3-2143 1908,Vegetarian Friendly,"Lunch, Dinner"
Brasserie 25,4.5 ,"25 Jalan Kamunting, Kuala Lumpur 50300 Malaysia",http://www.stripeskl.com/dining.html,$$ - $$$,$$ - $$$InternationalContemporaryFusion,+60 3-2038 0000,"International, Contemporary, Fusion","Vegetarian Friendly, Gluten Free Options"
Al-Halabi Gourmet Restaurant,4.5 ,"168 Jalan Bukit Bintang Level 7 Pavillion Kuala Lumpur, Kuala Lumpur 55100 Malaysia",http://www.pavilion-kl.com/viewstore/Al-Halabi-Gourmet-Restaurant,$$ - $$$,$$ - $$$LebaneseMediterraneanMiddle Eastern,+60 3-2113 0061,"Lebanese, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
Pisco Bar,4.5 ,"29 Jalan Mesui Off Jalan Nagasari, Kuala Lumpur 50200 Malaysia",http://www.piscobarkl.com/,$$ - $$$,$$ - $$$PeruvianLatinBar,+60 3-2142 2900,Vegetarian Friendly,"Dinner, After-hours, Drinks"
Loco bar and restaurant,4.0 ,"22 Changkat Bukit Bintang, Kuala Lumpur 50200 Malaysia",http://www.locokl.com/,$$ - $$$,$$ - $$$MexicanSouthwesternBar,+60 3-2142 8260,"Southwestern, Mexican, Bar","Vegetarian Friendly, Gluten Free Options"
Overseas Restaurant,4.0 ,"84-88 Jalan Imbi, Kuala Lumpur 55100 Malaysia",http://www.oversea.com.my/restaurant/restaurant-oversea-imbi/,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 3-2144 9911,,
The Green Man Pub & Restaurant,4.0 ,"40 Changkat Bukit Bintang, Kuala Lumpur 50200 Malaysia",http://www.greenman.com.my/,$$ - $$$,$$ - $$$BarEuropeanBritish,+60 3-2141 9924,Vegetarian Friendly,"Brunch, Lunch, Dinner, Drinks"
Pampas Reserve Grill & Bar,4.5 ,"Persiaran Raja Chulan G-0-1 Suasana Bukit Ceylon, Kuala Lumpur 50200 Malaysia",http://www.pampas.com.my/,$$ - $$$,$$ - $$$SteakhouseArgentinianSouth American,+60 3-2070 5548,"Steakhouse, Argentinian, South American","Dinner, Lunch, After-hours"
Kedai Kopi Lai Foong,4.0 ,"Jalan Cheng Lock Central Market Area, Kuala Lumpur 50000 Malaysia",http://www.facebook.com/laifoonglalanoodle/,$,$ChineseAsianMalaysian,+60 3-2072 8123,"Breakfast, Lunch, Brunch","Takeout, Seating"
Marta's Kitchen Paella Tapas,4.0 ,"3 Jalan Sri Hartamas 22 The Signature, Desa Sri Hartamas, Kuala Lumpur 50480 Malaysia",http://www.facebook.com/MartasKitcheninKLPaellaBar,$$ - $$$,$$ - $$$MediterraneanEuropeanSpanish,+60 3-6411 0832,Vegetarian Friendly,"Lunch, Dinner, Brunch, Drinks"
Michelangelo’s Restaurant @ Pavilion Kuala Lumpur,4.0 ,"Lot C3.04.00, Level 3, Pavilion KL 168 Jalan Bukit Bintang, Kuala Lumpur 55100 Malaysia",http://www.michelangelos-restaurants.com/,$$ - $$$,$$ - $$$ItalianPizzaMediterranean,+60 3-2141 1123,"Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options"
The BBP,4.5 ,"1 Club Drive The Club, , Bukit Utama, Bandar Utama, Petaling Jaya 47800 Malaysia",http://www.facebook.com/BBPmalaysia,$$ - $$$,$$ - $$$BarBarbecuePub,+60 3-7724 1628,"Bar, Barbecue, Pub",Gluten Free Options
Contango,4.0 ,"5 Jalan Sultan Hishamuddin The Majestic Hotel, Kuala Lumpur 59200 Malaysia",http://www.majestickl.com/contango.html,$$ - $$$,$$ - $$$ContemporaryVegetarian FriendlyVegan Options,+60 3-2785 8000,Contemporary,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
Ebisu at Altitude,5.0 ,"Level 53 2 Jalan Conlay Banyan Tree Kuala Lumpur, Kuala Lumpur 50450 Malaysia",http://www.banyantree.com/malaysia/kuala-lumpur/dining/ebisu-altitude,$$ - $$$,$$ - $$$JapaneseSushiVegetarian Friendly,+60 3-2113 1888,"Japanese, Sushi",Vegetarian Friendly
Foo Foo Fine Desserts,4.5 ,"64a, First Floor Jalan Burhanuddin Helmi Taman Tun Dr Ismail, Kuala Lumpur 60000 Malaysia",http://www.facebook.com/foofoofinedesserts/,$$ - $$$,$$ - $$$DessertCafe,+60 3-2389 3155,"Reservations, Seating, Free Wifi, Table Service",
Limapulo Baba Can Cook,4.0 ,"50 Jalan Doraisamy, Kuala Lumpur 50300 Malaysia",http://www.facebook.com/Baba-Can-Cook-635621076504974,$$ - $$$,$$ - $$$AsianNonya/MalaysianMalaysian,+60 3-2698 3268,Vegetarian Friendly,"Lunch, Dinner, Brunch"
Astor Bar,5.0 ,"No 6 Jalan Stesen Sentral No. 6, Jalan Stesen Sentral 2, Kuala Lumpur 50470 Malaysia",http://www.marriott.com/hotels/hotel-information/restaurant/details/kulxr-the-st-regis-kuala-lumpur/6468193/,$$$$,$$$$BarWine BarVegetarian Friendly,+60 3-2727 6680,Vegetarian Friendly,Dinner
Tao Chinese Cuisine,4.5 ,"165 Jalan Ampang Inter Continental Hotel KL, Kuala Lumpur 50450 Malaysia",https://kualalumpur.intercontinental.com/dining/tao-chinese-cuisine,$$$$,$$$$ChineseAsianCantonese,+60 3-2782 6128,Vegetarian Friendly,"Dinner, Lunch, Brunch"
Feast,4.5 ,"Jalan Utara C Sheraton Hotel Petaling Jaya, Petaling Jaya 46200 Malaysia",http://www.sheratonpetalingjaya.com/,$$ - $$$,$$ - $$$SeafoodInternationalAsian,+60 3-7622 8992,,
Madam Kwan's KLCC,4.0 ,"Lot 420/421 Level 4 Suria Suria KLCC, Kuala Lumpur 50088 Malaysia",http://www.mymadamkwans.com/,$$ - $$$,$$ - $$$AsianNonya/MalaysianMalaysian,+60 3-2026 2297,,
The Hungry Tapir,4.5 ,"135 Jalan Petaling, Kuala Lumpur 50000 Malaysia",http://www.facebook.com/thehungrytapir/,$$ - $$$,$$ - $$$AsianFusionHealthy,+60 3-2022 2137,"Asian, Fusion, Healthy, Malaysian","Vegetarian Friendly, Vegan Options"
Hard Rock Cafe,4.0 ,"No. 2 Jalan Sultan Ismail No 2 Jalan Sultan Ismail, Kuala Lumpur 50250 Malaysia",https://www.hardrockcafe.com/location/kuala-lumpur/#utm_source=rest_of_network&utm_medium=Yext&utm_campaign=Listings,$$ - $$$,$$ - $$$AmericanVegetarian Friendly,+60 3-2715-5555,American,Vegetarian Friendly
Passage Thru India,4.0 ,"No. 4 Jalan Delima Off Jalan Bukit Bintang, Kuala Lumpur 55100 Malaysia",http://www.passagethruindia.com/,$$ - $$$,$$ - $$$IndianAsianVegetarian Friendly,+60 3-2145 0366,"Indian, Asian","Vegetarian Friendly, Vegan Options, Halal"
"CEDAR on 15, Impiana KLCC Hotel",4.5 ,"13 Jalan Pinang Impiana KLCC Hotel, Kuala Lumpur 50450 Malaysia",http://kualalumpurhotels.impiana.com.my/?cur=page/page&id=97,$$$$,$$$$ItalianAmericanEuropean,+60 3-2147 1111,"Italian, American, European, Caucasian","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Nam Heong Chicken Rice Chinatown,4.0 ,"56 Jalan Sultan, Kuala Lumpur 50000 Malaysia",http://www.namheongchickenrice.com/,$$ - $$$,$$ - $$$ChineseAsianMalaysian,+60 3-2078 5879,"Asian, Malaysian, Chinese","Lunch, Brunch"
Cafe etc.,4.5 ,"198 Jalan Tun H S Lee, Kuala Lumpur 50000 Malaysia",http://www.facebook.com/cafeetckl/,$,$CafeEuropeanVegetarian Friendly,+60 3-2022 3551,"Cafe, European",Vegetarian Friendly
Arthur’s Bar & Grill,4.0 ,"11 Jalan Sultan Ismail Shangri-La Hotel Kuala Lumpur, Kuala Lumpur 50250 Malaysia",https://www.shangri-la.com/kualalumpur/shangrila/dining/bars-lounges/arthurs-bar-grill/#menu-wine0,$$ - $$$,$$ - $$$BarInternationalPub,+60 3-2074 3900,"Lunch, Dinner, After-hours, Drinks","Reservations, Seating, Parking Available, Valet Parking, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Table Service, Live Music"
Al-Amar,4.0 ,"Lot 6.10 Level-6, Pavilion Kuala Lumpur 168 Jalan Bukit Bintang, Kuala Lumpur 50450 Malaysia",https://www.facebook.com/pg/AlAmarLebaneseCuisine/about/?ref=page_internal,$$ - $$$,$$ - $$$LebaneseMediterraneanMiddle Eastern,+60 17-284 0874,"Lebanese, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
Zipangu,4.0 ,"11 Jalan Sultan Ismail Level 1, Shangri-La Kuala Lumpur, Kuala Lumpur 50250 Malaysia",https://www.shangri-la.com/kualalumpur/shangrila/dining/restaurants/zipangu/#menu-wine0,$$$$,$$$$JapaneseSushiAsian,+60 3-2032 2388,"Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch"
